Name,LastName,ScholarID,ScopusID,NameEn,Affiliation,Email,Citation,ImagePath
احسان,بنی اسدی,lWAuoX4AAAAJ,35781645200,Ehsan Baniasadi,University of Isfahan  Aston University,eng.ui.ac.ir,2398,img\Ehsan Baniasadi-lWAuoX4AAAAJ.jpg
حسین,وزیری مقدم,Ug8wd8YAAAAJ,12751780100,Hossein Vaziri-Moghaddam,Professor of Stratigraphy and Paleontology  Department of Geology  University of Isfahan â€¦,sci.ui.ac.ir,2360,img\Hossein Vaziri-Moghaddam-Ug8wd8YAAAAJ.jpg
سعید,جلالی اسدآبادی,qGuFbiMAAAAJ,56022641400,Saeid Jalali-Asadabadi,Associate Professor of Physics  University of Isfahan,sci.ui.ac.ir,2347,img\Saeid Jalali-Asadabadi-qGuFbiMAAAAJ.jpg
رضا,صالح زاده,sZnh9rcAAAAJ,55831006100,Reza Salehzadeh,Assistant Professor  Department of Management  University of Isfahan,ase.ui.ac.ir,2255,img\Reza Salehzadeh-sZnh9rcAAAAJ.jpg
سهیلا,رهگذر,VrF0NRQAAAAJ,15766272400,Soheila Rahgozar,Associate Professor  University of Isfahan,sci.ui.ac.ir,2252,img\Soheila Rahgozar-VrF0NRQAAAAJ.jpg
مریم,فاتحی زاده,RWRjqfkAAAAJ,36127285800,Maryam Fatehizade,full professor. university of isfahan,edu.ui.ac.ir,2242,img\Maryam Fatehizade-RWRjqfkAAAAJ.jpg
امیر,رحیمی,x_DTVSAAAAAJ,35262730500,Amir Rahimi,University of Isfahan,eng.ui.ac.ir,2160,img\Amir Rahimi-x_DTVSAAAAAJ.jpg
احمدرضا,نقش نیلچی,mnRKQS4AAAAJ,15765447200,Ahmad R. Naghsh-Nilchi,Professor of Artificial Intelligence  Faculty of Computer Eng.  University of Isfahan,eng.ui.ac.ir,2158,img\Ahmad R. Naghsh-Nilchi-mnRKQS4AAAAJ.jpg
امیررضا,خاوریان گرمسیر,r6q9ZpUAAAAJ,56382518800,Amir Reza Khavarian-Garmsir,Assistant professor  Department of Geography and Urban Planning  University of Isfahan â€¦,geo.ui.ac.ir,2150,img\Amir Reza Khavarian-Garmsir-r6q9ZpUAAAAJ.jpg
علیرضا,معمارمقدم,mMXSzCIAAAAJ,57192087693,Alireza Memarmoghadam,Postdoctoral Researcher  University of Isfahan,eng.ui.ac.ir,2137,img\Alireza Memarmoghadam-mMXSzCIAAAAJ.jpg
مرتضی,مظفری,eb4DxaAAAAAJ,7004817013,Morteza Mozaffari,Associate Professor at Department of Physics  University of Isfahan,sci.ui.ac.ir,2112,img\Morteza Mozaffari-eb4DxaAAAAAJ.jpg
علیرضا,سلیمانی نظر,mJy8E_IAAAAJ,9335588200,Ali Reza Solaimany Nazar,Department of Chemical Engineering  Faculty of Engineering  University of Isfahan,eng.ui.ac.ir,2101,img\Ali Reza Solaimany Nazar-mJy8E_IAAAAJ.jpg
جمال,مشتاقیان,NEzvHY0AAAAJ,6507491413,Jamal Moshtaghian,University of Isfahan,sci.ui.ac.ir,2047,img\Jamal Moshtaghian-NEzvHY0AAAAJ.jpg
حسین,وحید دستجردی,DheXkNIAAAAJ,10043392300,Hossein Vahid Dastjerdi,Professor of Applied Linguistics  University of Isfahan,fgn.ui.ac.ir,1981,img\Hossein Vahid Dastjerdi-DheXkNIAAAAJ.jpg
علیرضا,عبداللهی,49iv_3sAAAAJ,7003857111,Alireza Abdollahi,University of Isfahan,math.ui.ac.ir,1973,img\Alireza Abdollahi-49iv_3sAAAAJ.jpg
بهرام,رنجبریان,SVnoUBMAAAAJ,26531888300,bahram ranjbarian,professor at university of isfahan,ase.ui.ac.ir,1972,img\bahram ranjbarian-SVnoUBMAAAAJ.jpg
علیرضا,امینی هرندی,qXph-xIAAAAJ,58549823900,Alireza Amini Harandi,Professor of Mathematics  University of Isfahan,sci.ui.ac.ir,1899,img\Alireza Amini Harandi-qXph-xIAAAAJ.jpg
صادق,ولیان,Jh9tXVEAAAAJ,6602669996,Sadeq Vallian  MSc  PhD,Professor of human molecular genetics  University of Isfahan,sci.ui.ac.ir,1896,img\Sadeq Vallian  MSc  PhD-Jh9tXVEAAAAJ.jpg
سید مجید,قادریان,gNY0nHMAAAAJ,15019236100,Seyed Majid Ghaderian,Professor in plant Biology  University of Isfahan,sci.ui.ac.ir,1862,img\Seyed Majid Ghaderian-gNY0nHMAAAAJ.jpg
محمد,عطائی,8iRqqr4AAAAJ,55674125200,Mohammad Ataei,Department of Electrical Engineering  University of Isfahan,eng.ui.ac.ir,1842,img\Mohammad Ataei-8iRqqr4AAAAJ.jpg
رسول,اجل لوئیان,EuH6mJYAAAAJ,7801600867,Rassoul Ajalloeian,Professor of Engineering Geology  The University of Isfahan  Isfahan  Iran,sci.ui.ac.ir,1820,img\Rassoul Ajalloeian-EuH6mJYAAAAJ.jpg
پیمان,ادیبی,u-FQZMkAAAAJ,57204151556,Peyman Adibi,University of Isfahan,eng.ui.ac.ir,1797,img\Peyman Adibi-u-FQZMkAAAAJ.jpg
محمد,حجت,4Cms-qEAAAAJ,35239999000,Mohammad Hojjat,Assistant Professor  Chemical Engineering Department  Faculty of Engineering  University of â€¦,eng.ui.ac.ir,1793,img\Mohammad Hojjat-4Cms-qEAAAAJ.jpg
بهرام,یداللهی,9OF6KvEAAAAJ,55937589100,Bahram Yadollahi,University of Isfahan,sci.ui.ac.ir,1770,img\Bahram Yadollahi-9OF6KvEAAAAJ.jpg
قاسم,دینی,xbvnAwYAAAAJ,23110259400,Ghasem Dini,Associate Professor  Department of Nanotechnology  University of Isfahan  Iran,sci.ui.ac.ir,1767,img\Ghasem Dini-xbvnAwYAAAAJ.jpg
معین,پرستگاری,U7IQcU0AAAAJ,24071426300,Moein Parastegari,University of Isfahan,eng.ui.ac.ir,1694,img\Moein Parastegari-U7IQcU0AAAAJ.jpg
وحید,قاسمی,HjJvyOcAAAAJ,58029420900,Vahid Ghasemi,University of Isfahan,ltr.ui.ac.ir,1694,img\Vahid Ghasemi-HjJvyOcAAAAJ.jpg
حمیدرضا,فلاح,mUYnOiYAAAAJ,55882465000,Hamidreza Fallah,Department of Physics  University of Isfahan  Isfahan  Iran,sci.ui.ac.ir,1688,img\Hamidreza Fallah-mUYnOiYAAAAJ.jpg
کامران,زمانی فر,dFY1nLQAAAAJ,6508072399,Kamran Zamanifar,Associate professor of software engineering  University of Isfahan,eng.ui.ac.ir,1625,img\Kamran Zamanifar-dFY1nLQAAAAJ.jpg
احمدرضا,موحدی,m0iZljkAAAAJ,23009684200,Ahmadreza Movahedi,Professor of Performance Neuroscience & Psychomotor Learning and Development â€¦,spr.ui.ac.ir,1623,img\Ahmadreza Movahedi-m0iZljkAAAAJ.jpg
نورالله,زرین آبادی,C4smEAUAAAAJ,55446778000,Nourollah Zarrinabadi,University of Isfahan,fgn.ui.ac.ir,1621,img\Nourollah Zarrinabadi-C4smEAUAAAAJ.jpg
سید فواد,آقامیری,O6Aei0oAAAAJ,10142540200,Seyedfoad Aghamiri,University of Isfahan,eng.ui.ac.ir,1604,img\Seyedfoad Aghamiri-O6Aei0oAAAAJ.jpg
منصور,شریعتی,fJJSmBEAAAAJ,14421653800,mansour shariati,Professor of Plant Physiology  University of Isfahan,sci.ui.ac.ir,1600,img\mansour shariati-fJJSmBEAAAAJ.jpg
محمد حسین,نادری,YEX0hs0AAAAJ,6603887462,Mohammad hossein Naderi,Department of Physics  University of Isfahan,phys.ui.ac.ir,1569,img\Mohammad hossein Naderi-YEX0hs0AAAAJ.jpg
محمدرضا,رحیمی نژاد,q7b79Y0AAAAJ,8655299300,Mohammad Reza Rahiminejad,Emeritus Professor of Plant Systematic of the University of Isfahan,sci.ui.ac.ir,1558,img\Mohammad Reza Rahiminejad-q7b79Y0AAAAJ.jpg
عذرا,اعتمادی تودشکی,ebOacwgAAAAJ,55352259700,Ozra Etemadi,Counseling  Full professor  University of Isfahan,edu.ui.ac.ir,1547,img\Ozra Etemadi-ebOacwgAAAAJ.jpg
صفورا,میرمحمدصادقی,LK6182wAAAAJ,55135826900,Safoora Mirmohamadsadeghi,University of Isfahan,bio.ui.ac.ir,1533,img\Safoora Mirmohamadsadeghi-LK6182wAAAAJ.jpg
کریم,عسگری,HcRUHjoAAAAJ,57188998409,Karim Asgari,Associate professor Department of Psychology  University of Isfahan,edu.ui.ac.ir,1508,img\Karim Asgari-HcRUHjoAAAAJ.jpg
غلامعلی,قاسمی,otHnYpMAAAAJ,54398514900,Gholamali Ghasemi,Associate professor of sport injuries and corrective exercise  University of Isfahan,spr.ui.ac.ir,1506,img\Gholamali Ghasemi-otHnYpMAAAAJ.jpg
مجید,بوذری,gS0rdfwAAAAJ,35848179800,Majid Bouzari,Professor of Virology  University of Isfahan,sci.ui.ac.ir,1499,img\Majid Bouzari-gS0rdfwAAAAJ.jpg
فرزاد,پرورش,bQZsFPUAAAAJ,6508099027,Farzad Parvaresh,University of Isfahan,eng.ui.ac.ir,1497,img\Farzad Parvaresh-bQZsFPUAAAAJ.jpg
سحر,رشید ندیمی,VBOj9FUAAAAJ,8664190400,Sahar Rashid-Nadimi,Department of Renewable Energy  University of Isfahan,ast.ui.ac.ir,1480,img\Sahar Rashid-Nadimi-VBOj9FUAAAAJ.jpg
مجید,موسوی,GWvAxXkAAAAJ,8675335500,Majid Moosavi,University of Isfahan,sci.ui.ac.ir,1476,img\Majid Moosavi-GWvAxXkAAAAJ.jpg
غلام‌حسن,عظیمی,2Cua-icAAAAJ,6603195298,Gholamhassan Azimi,Department of Chemistry  University of Isfahan  Isfahan  IRAN,sci.ui.ac.ir,1447,img\Gholamhassan Azimi-2Cua-icAAAAJ.jpg
حامد,هفت برادران,2AI9ZBsAAAAJ,15831980000,Hamed Haftbaradaran,University of Isfahan,eng.ui.ac.ir,1420,img\Hamed Haftbaradaran-2AI9ZBsAAAAJ.jpg
محمد باقر,کجباف,YZUI_Z8AAAAJ,56806724200,mohammadbagher kajbaf,Professor of psychology university of Isfahan,edu.ui.ac.ir,1410,img\mohammadbagher kajbaf-YZUI_Z8AAAAJ.jpg
رضا,حق بخش,4RCQvO0AAAAJ,55506186900,Reza Haghbakhsh,PhD in Chemical Engineering  University of Isfahan; Universidade NOVA de Lisboa,eng.ui.ac.ir,1402,img\Reza Haghbakhsh-4RCQvO0AAAAJ.jpg
بهروز,ترک لادانی,g1vKAL0AAAAJ,36026993300,Behrouz Tork Ladani,Professor of software engineering at Faculty of Computer Engineering  University of Isfahan,eng.ui.ac.ir,1389,img\Behrouz Tork Ladani-g1vKAL0AAAAJ.jpg
مریم,همایون فال,elDie38AAAAJ,36162903900,Maryam Homayoonfal,Assistant Professor  Department of Chemical Engineering  University of Isfahan  PO Box â€¦,eng.ui.ac.ir,1387,img\Maryam Homayoonfal-elDie38AAAAJ.jpg
امید,معینی جزنی,1Q_a358AAAAJ,14828955900,Omid Moini Jazani,Associate Professor of Chemical Engineering.University of Isfahan,eng.ui.ac.ir,1369,img\Omid Moini Jazani-1Q_a358AAAAJ.jpg
محمد,عاشوری,528BsXMAAAAJ,55918448500,Mohammad Ashori,University of Isfahan,edu.ui.ac.ir,1347,img\Mohammad Ashori-528BsXMAAAAJ.jpg
بی‌بی عشرت,زمانی,Bb0136wAAAAJ,31367755800,Bibi Eshrat Zamani  professor,university of Isfahan,edu.ui.ac.ir,1332,img\Bibi Eshrat Zamani  professor-Bb0136wAAAAJ.jpg
حسن,سبزیان,hDro5ikAAAAJ,55970196700,Hassan Sabzyan,University of Isfahan,sci.ui.ac.ir,1330,img\Hassan Sabzyan-hDro5ikAAAAJ.jpg
عباس,محمدی,RZG3rTIAAAAJ,56350412900,Abbas Mohammadi,Assistant Professor  Department of Polymer Chemistry  University of Isfahan,sci.ui.ac.ir,1299,img\Abbas Mohammadi-RZG3rTIAAAAJ.jpg
بهزاد,میرزائیان دهکردی,wNpVqOAAAAAJ,56618846500,Behzad Mirzaeian Dehkordi,University of Isfahan,eng.ui.ac.ir,1294,img\Behzad Mirzaeian Dehkordi-wNpVqOAAAAAJ.jpg
ابراهیم,اکبری,BoqiUdQAAAAJ,57222808114,Ebrahim Akbari,PhD in Electrical Engineering from University of Isfahan,eng.ui.ac.ir,1289,img\Ebrahim Akbari-BoqiUdQAAAAJ.jpg
آرش,کیومرثی,RLPa3wgAAAAJ,14632127700,Arash Kiyoumarsi,Associate Professor of Electrical Engineering  University of Isfahan,eng.ui.ac.ir,1285,img\Arash Kiyoumarsi-RLPa3wgAAAAJ.jpg
محسن,ملکی,ofIq8loAAAAJ,57214767247,Mohsen Maleki,Faculty of Mathmatics and Statistics  University of Isfahan  Isfahan  Iran,mcs.ui.ac.ir,1262,img\Mohsen Maleki-ofIq8loAAAAJ.jpg
ابوالقاسم,عباسی کجانی,pzCDLDwAAAAJ,36182172000,Abolghasem Abbasi Kajani,University of Isfahan  Iran,bio.ui.ac.ir,1249,img\Abolghasem Abbasi Kajani-pzCDLDwAAAAJ.jpg
حمید,ملا,pqIlxuoAAAAJ,35185355900,hamid mala,Associate Professor of Computer Engineering  University of Isfahan,eng.ui.ac.ir,1244,img\hamid mala-pqIlxuoAAAAJ.jpg
سید محمد,مدنی,g0Q7dgwAAAAJ,7003815936,Seyed M. Madani,Associate Professor  Electrical Engineering  University of Isfahan,eng.ui.ac.ir,1238,img\Seyed M. Madani-g0Q7dgwAAAAJ.jpg
مجید,محمدشفیعی,0TXKIPIAAAAJ,55823658500,Majid Mohammad Shafiee,Associate Professor of Marketing  Department of Management  University of Isfahan  Iran,ase.ui.ac.ir,1235,img\Majid Mohammad Shafiee-0TXKIPIAAAAJ.jpg
ناصر,موحدی نیا,vgdPGqMAAAAJ,56030555900,Naser Movahedinia,University of Isfahan,eng.ui.ac.ir,1223,img\Naser Movahedinia  Naser Movahhedinia  N. Movahhedinia  N. Movahedinia-vgdPGqMAAAAJ.jpg
عبدالرضا,عطائی,aldx0PAAAAAJ,55891806000,Abdolreza (Reza) Ataei,Assistant Professor  University of Isfahan,eng.ui.ac.ir,1219,img\Abdolreza (Reza) Ataei-aldx0PAAAAAJ.jpg
احسان,زمان زاده,lQK6REQAAAAJ,55070825800,Ehsan Zamanzade,Associate Professor of Statistics  University of Isfahan  Isfahan  Iran,sci.ui.ac.ir,1216,img\Ehsan Zamanzade-lQK6REQAAAAJ.jpg
داوود,بی ریا,lD9ngE8AAAAJ,23970030700,Davoud Biria,Department of Chemical Engineering  University of Isfahan,ast.ui.ac.ir,1209,img\Davoud Biria-lD9ngE8AAAAJ.jpg
عزیزالله ,دباغی ورنوسفادرانی,7TyqceQAAAAJ,16051983100,Azizollah Dabaghi Varnosfadrani,University of Isfahan,fgn.ui.ac.ir,1209,img\Azizollah Dabaghi Varnosfadrani-7TyqceQAAAAJ.jpg
احمد,براآنی,GNhx_dgAAAAJ,15845098700,Ahmad Baraani,Professor of Computer Engineering. University of Isfahan,eng.ui.ac.ir,1207,img\Ahmad Baraani-GNhx_dgAAAAJ.jpg
محمد,امیر‌یوسفی,Swl_eXMAAAAJ,57188857088,Mohammad Amiryousefi,Associate Professor  University of Isfahan,fgn.ui.ac.ir,1207,img\Mohammad Amiryousefi-Swl_eXMAAAAJ.jpg
سعید,فتحی,#NAME?,56216931300,Saeed Fathi,Associate Professor  University of Isfahan  Department of Management,ase.ui.ac.ir,1206,img\Saeed Fathi--vy6ZKMAAAAJ.jpg
زهرا,اعتمادی فر,nsskbbYAAAAJ,24780314200,Zahra Etemadifar,Associate Professor of Microbiology  University of Isfahan,sci.ui.ac.ir,1204,img\Zahra Etemadifar-nsskbbYAAAAJ.jpg
علی,صنایعی,Qm45M2MAAAAJ,55823623500,Ali Sanayei,Professor University of Isfahan,ase.ui.ac.ir,1201,img\Ali Sanayei-Qm45M2MAAAAJ.jpg
مسعود,بهشتی,v8kHzZUAAAAJ,24167986600,masoud beheshti,University of Isfahan,eng.ui.ac.ir,1195,img\masoud beheshti-v8kHzZUAAAAJ.jpg
اسماعیل,شیبانی,8OYq4OIAAAAJ,11939493700,Esmaeil Sheibani,assistant professor of Organic Electronic Material at University of Isfahan,sci.ui.ac.ir,1186,img\Esmaeil Sheibani-8OYq4OIAAAAJ.jpg
زهره,حجت,bCDNE8kAAAAJ,22834839400,Zohreh Hojati,Professor of Human Molecular Genetics  University of Isfahan,sci.ui.ac.ir,1183,img\Zohreh Hojati-bCDNE8kAAAAJ.jpg
مصطفی,کاظمی,hrzKdvUAAAAJ,55912548700,Mostafa Kazemi,University of Isfahan,shr.ui.ac.ir,1149,img\Mostafa Kazemi-hrzKdvUAAAAJ.jpg
محمدرضا,خیام باشی,EPhO7NcAAAAJ,6504731394,Mohammad Reza Khayyambashi,Professor of Computer Engineering - University of Isfahan,eng.ui.ac.ir,1146,img\Mohammad Reza Khayyambashi-EPhO7NcAAAAJ.jpg
محمد حسن,خادمی,R4s7eHoAAAAJ,24338296800,Mohammad Hasan Khademi,Assistant Professor  Chemical Engineering Department  Faculty of Engineering  University of â€¦,eng.ui.ac.ir,1126,img\Mohammad Hasan Khademi-R4s7eHoAAAAJ.jpg
رسول,رکنی زاده,_CEVKQsAAAAJ,6505955616,Rasoul Roknizadeh,Professor of Theoretical Physics  University of Isfahan  Department of Physics  Quantum â€¦,sci.ui.ac.ir,1113,img\Rasoul Roknizadeh-_CEVKQsAAAAJ.jpg
مهدی,الیاسی,v0fF5wMAAAAJ,15821876900,Mehdi Eliasi,Department of mathematics  Khansar Campus  University of Isfahan,khc.ui.ac.ir,1096,img\Mehdi Eliasi-v0fF5wMAAAAJ.jpg
محمدجواد,لیاقت دار,SkP3E7UAAAAJ,33467776500,Mjavad Liaghatdar,Professor  Department of Education  University of Isfahan,edu.ui.ac.ir,1095,img\Mjavad Liaghatdar-SkP3E7UAAAAJ.jpg
رامتین,معینی,Mr3fW_4AAAAJ,23668718300,Ramtin Moeini,Associate Professor of University of Isfahan,eng.ui.ac.ir,1083,img\Ramtin Moeini-Mr3fW_4AAAAJ.jpg
فاتح,رحیمی,1OQdnYgAAAAJ,35208907500,Fateh Rahimi,Associate Professor of Medical Bacteriology  University of Isfahan  Isfahan  Iran,sci.ui.ac.ir,1081,img\Fateh Rahimi-1OQdnYgAAAAJ.jpg
غلام رضا,انصاری فر,GAKD5FcAAAAJ,26640940000,Gholamreza Ansarifar(GRAnsarifar)- Professor,Department of Nuclear Engineering  Faculty of Physics  University of Isfahan,ast.ui.ac.ir,1079,img\Gholamreza Ansarifar(GRAnsarifar)- Professor-GAKD5FcAAAAJ.jpg
کمال,جمشیدی,TyfMgeQAAAAJ,23667296200,kamal jamshidi,Professor of Computer Engineering Department  University of Isfahan,eng.ui.ac.ir,1070,img\kamal jamshidi-TyfMgeQAAAAJ.jpg
محمد حسن,امیریون,dfJ7-McAAAAJ,55842115700,Mohammad Hassan Amirioun,Assistant Professor University of Isfahan,shr.ui.ac.ir,1069,img\Mohammad Hassan Amirioun-dfJ7-McAAAAJ.jpg
سید ابوالفضل,مسعودیان,#NAME?,55765869700,SA Masoodian,Professor of Climatology  University of Isfahan,geo.ui.ac.ir,1057,img\SA Masoodian--_N2LhoAAAAJ.jpg
علیرضا,صفری,ANd-hlEAAAAJ,55433862700,Ali Safari,Department of Management  University of Isfahan,ase.ui.ac.ir,1056,img\Ali Safari-ANd-hlEAAAAJ.jpg
محمد,ربانی خوراسگانی,Udz_nZYAAAAJ,23470899800,Mohammad Rabbani Khorasgani,Professor of Microbiology University of Isfahan,biol.ui.ac.ir,1048,img\Mohammad Rabbani Khorasgani-Udz_nZYAAAAJ.jpg
فریبرز,مومن بیک,Ruq_K2IAAAAJ,8426391600,Fariborz Momenbeik,Assistant professor of Analytical Chemistry  University of Isfahan  Isfahan  Iran,chem.ui.ac.ir,1043,img\Fariborz Momenbeik-Ruq_K2IAAAAJ.jpg
احمد,گلی,V5oanbEAAAAJ,56251832500,Ahmad Goli,University of Isfahan,trn.ui.ac.ir,1028,img\Ahmad Goli-V5oanbEAAAAJ.jpg
امیر,لندرانی اصفهانی,K_PMTjYAAAAJ,56081836500,Amir Landarani Isfahani,Assistant Professors of University of Isfahan  Isfahan,sci.ui.ac.ir,1027,img\Amir Landarani Isfahani-K_PMTjYAAAAJ.jpg
سعید,جهانیان,pASkVPwAAAAJ,36933932000,Saeed Jahanyan  PhD,Associate Professor at the Department of Management University of Isfahan,ase.ui.ac.ir,1009,img\Saeed Jahanyan  PhD-pASkVPwAAAAJ.jpg
مهدی,کمالی,jH9Q8B4AAAAJ,57201488903,Mahdi Kamali,University of Isfahan,eng.ui.ac.ir,1004,img\Mahdi Kamali-jH9Q8B4AAAAJ.jpg
فاطمه,آهنگران,mzvTrjIAAAAJ,57191247744,Fatemeh Ahangaran,Department of Chemical Engineering  University of Isfahan,eng.ui.ac.ir,990,img\Fatemeh Ahangaran-mzvTrjIAAAAJ.jpg
سعیده,کتابی,wSHQxjIAAAAJ,55372458500,Saeedeh Ketabi,Department of Management  University of Isfahan,ase.ui.ac.ir,983,img\Saeedeh Ketabi-wSHQxjIAAAAJ.jpg
صادق,مطهر,gBtBqC4AAAAJ,26022512600,Sadegh Motahar,University of Isfahan,shr.ui.ac.ir,980,img\Sadegh Motahar-gBtBqC4AAAAJ.jpg
محسن,گلابی,#NAME?,57218561935,Mohsen Golabi,Department of Biotechnology  Faculty of Biological Science and Technology  University of â€¦,bio.ui.ac.ir,973,img\Mohsen Golabi--ngmpbQAAAAJ.jpg
سید فتح اله,امیری عقدایی,w104SqMAAAAJ,55090108600,Seyed Fathollah Amiri Aghdaie,Department of Management  University of Isfahan,ase.ui.ac.ir,968,img\Seyed Fathollah Amiri Aghdaie-w104SqMAAAAJ.jpg
شعله,امیری,uxiy_U8AAAAJ,54794773000,Shole Amiri,University of Isfahan,edu.ui.ac.ir,967,img\Shole Amiri-uxiy_U8AAAAJ.jpg
مهران,زینلیان,ywUqwdYAAAAJ,52464976100,Mehran Zeynalian,Professor of Civil Engineering  The University of Isfahan,eng.ui.ac.ir,962,img\Mehran Zeynalian-ywUqwdYAAAAJ.jpg
اکبر,امیدوار,StaU0PsAAAAJ,55026670700,Akbar Omidvar,Assistant Professor of Physical Chemistry  University of Isfahan,chem.ui.ac.ir,951,img\Akbar Omidvar-StaU0PsAAAAJ.jpg
رضا,هویدا,9MO4hJMAAAAJ,26326846400,Reza Hoveida,Associate Professor  Department of Education  University of Isfahan  Isfahan  Iran ,edu.ui.ac.ir,941,img\Reza Hoveida-9MO4hJMAAAAJ.jpg
صادق,خرمی,xeGUBK4AAAAJ,57205154798,Sadegh Khorrami,Department of Biotechnology  University of Isfahan,ast.ui.ac.ir,921,img\Sadegh Khorrami-xeGUBK4AAAAJ.jpg
علیرضا,کریمیان,MMwGJSUAAAAJ,55386610800,Alireza Karimian,Professor (Full)  University of Isfahan,eng.ui.ac.ir,915,img\Alireza Karimian-MMwGJSUAAAAJ.jpg
قدرت,ترابی,3JhQy6wAAAAJ,24438631000,Ghodrat Torabi,Professor in Geology and Petrology  University of Isfahan  Isfahan  Iran,sci.ui.ac.ir,899,img\Ghodrat Torabi-3JhQy6wAAAAJ.jpg
حجت اله,سعیدی,JHddGdcAAAAJ,15052237100,Hojjatollah Saeidi,Associate Professor of Plant Biosystematic  University of Isfahan,sci.ui.ac.ir,892,img\Hojjatollah Saeidi-JHddGdcAAAAJ.jpg
خدیجه,رضایی ابراهیم سرائی,8b-dgawAAAAJ,56032815900,Kh. Rezaee Ebrahim Saraee,University of Isfahan,ast.ui.ac.ir,891,img\Kh. Rezaee Ebrahim Saraee-8b-dgawAAAAJ.jpg
احمد,معین زاده,WDUEM2IAAAAJ,55130415300,Ahmad Moinzadeh,Associate Professor of Linguistics  University of Isfahan,fgn.ui.ac.ir,877,img\Ahmad Moinzadeh-WDUEM2IAAAAJ.jpg
مهدی,مهدی خانی,KsaJoCUAAAAJ,36080960500,Mehdi Mehdikhani,Associate Professor  Department of Biomedical Engineering  University of Isfahan  Isfahan â€¦,eng.ui.ac.ir,872,img\Mehdi Mehdikhani-KsaJoCUAAAAJ.jpg
عماد,نعمت بخش,zVMmFTkAAAAJ,57196439486,Emad Nematbakhsh,Faculty of Electrical Engineering  University of Isfahan  Isfahan  Iran,eng.ui.ac.ir,864,img\Emad Nematbakhsh-zVMmFTkAAAAJ.jpg
آذرنوش,انصاری,XTudCLEAAAAJ,55673218300,Azarnoush Ansari,Associate Professor   Department of Management University of Isfahan  Isfahan  Iran,ase.ui.ac.ir,859,img\Azarnoush Ansari-XTudCLEAAAAJ.jpg
هادی,گیوی,tFVcDaYAAAAJ,57217302597,Hadi Givi,Department of Electrical Engineering  Shahreza Campus  University of Isfahan  Iran,shr.ui.ac.ir,850,img\Hadi Givi-tFVcDaYAAAAJ.jpg
